volcanonumber,volcanoname,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
268040,gamkonora,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.29,1635.0,16.9,3.0,6624.333333,0.0,1.0,0.0,0,0.138,1.32,14.5
311070,gareloi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.75,1573.0,28.6,4.0,3421.5,1.0,1.0,0.0,0,0.166,1.32,18.0
257020,gaua,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.27,797.0,92.0,16.0,1158.666667,1.0,1.0,0.0,1,0.036,1.48,7.9
300070,gorely,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.91,1799.0,13.0,4.0,5414.25,1.0,1.0,0.0,0,0.089,1.58,11.8
311120,great sitkin,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.9,1740.0,27.2,4.0,6367.0,1.0,1.0,0.0,0,0.168,1.66,22.2
373010,grimsvotn,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.76,1719.0,,5.0,4178.0,1.0,0.0,0.0,0,,,
352020,guagua pichincha,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
355020,guallatiri,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,55.61,6071.0,7.8,1.0,506.0,0.0,1.0,1.0,0,0.165,1.95,21.4
283020,hakoneyama,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,27.33,1438.0,132.0,1.0,308688.0,1.0,1.0,0.0,1,0.05,1.32,12.3
242005,havre seamount,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.54,-897.0,,1.0,,0.0,0.0,0.0,0,,,
234010,heard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.91,2745.0,193.0,7.0,2728.142857,1.0,1.0,1.0,0,0.141,1.31,16.0
372070,hekla,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.04,1490.0,,5.0,3762.8,1.0,1.0,1.0,0,,,
383020,hierro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.99,1500.0,149.0,1.0,,1.0,1.0,0.0,0,0.08,2.48,16.4
285020,hokkaido-komagatake,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.86,1131.0,7.5,3.0,7034.333333,0.0,1.0,0.0,0,0.108,1.52,13.3
243080,home reef,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.84,-10.0,,2.0,28215.0,0.0,1.0,0.0,0,,,
358057,"hudson, cerro",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.0,1905.0,195.0,3.0,14659.33333,1.0,1.0,0.0,0,0.052,1.76,18.4
351050,"huila, nevado del",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.62,5364.0,120.0,3.0,55072.0,0.0,1.0,0.0,0,0.145,1.73,23.4
243040,hunga tonga-hunga ha'apai,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.35,114.0,,3.0,9489.333333,0.0,1.0,0.0,0,,,
268030,ibu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.29,1325.0,9.7,4.0,8649.75,1.0,1.0,0.0,1,0.137,1.35,16.2
263350,ijen,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.75,2769.0,22.3,3.0,5734.0,1.0,1.0,0.0,0,0.153,1.42,18.8
264220,iliboleng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.31,1659.0,14.0,8.0,1797.125,1.0,1.0,0.0,0,0.177,1.4,16.9
264250,iliwerung,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.31,1018.0,1.6,5.0,4409.4,1.0,1.0,0.0,0,0.127,1.86,20.3
264090,inielika,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31.62,1559.0,7.8,1.0,34756.0,0.0,1.0,0.0,0,0.114,1.78,15.5
284120,ioto,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.71,169.0,,12.0,1665.166667,0.0,1.0,0.0,0,,,
282020,io-torishima,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.31,212.0,0.7,2.0,1645.0,0.0,1.0,0.0,0,0.144,1.25,21.0
345060,irazu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3432.0,240.0,3.0,6439.333333,1.0,1.0,0.0,0,0.064,1.8,14.8
355040,irruputuncu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,64.16,5163.0,3.4,1.0,,0.0,1.0,0.0,0,0.169,1.42,23.1
264110,iya,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.9,618.0,1.14,1.0,5623.0,1.0,1.0,0.0,0,0.168,1.52,20.9
343030,izalco,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20.5,1950.0,0.42,1.0,3253.0,0.0,1.0,0.0,0,0.235,1.78,26.5
284010,izu-oshima,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.25,758.0,19.4,13.0,682.3846154,1.0,1.0,0.0,0,0.071,1.39,9.6
